index,session_id,region,trial_id,stimulus_family,time_bin,mean_rate_proxy,dispersion_proxy,population_spike_count,n_units
0,session_1,CA1,0,natural_scenes,0,0.35,0.7355444521071727,14,40
1,session_1,CA1,0,natural_scenes,1,0.55,0.7493587001820033,22,40
2,session_1,CA1,0,natural_scenes,2,0.975,1.1432634351063984,39,40
3,session_1,CA1,0,natural_scenes,3,1.2,1.181046906296187,48,40
4,session_1,CA1,0,natural_scenes,4,1.05,1.0365128915546464,42,40
5,session_1,CA1,0,natural_scenes,5,1.45,1.1535897150933823,58,40
6,session_1,CA1,0,natural_scenes,6,1.95,1.338770963349479,78,40
7,session_1,CA1,0,natural_scenes,7,2.35,1.8612099731364444,94,40
8,session_1,CA1,0,natural_scenes,8,2.225,1.761227718644888,89,40
9,session_1,CA1,0,natural_scenes,9,1.75,1.6132464481796025,70,40
10,session_1,CA1,0,natural_scenes,10,1.9,1.8508487311612003,76,40
11,session_1,CA1,0,natural_scenes,11,1.875,1.5053324021709096,75,40
12,session_1,CA1,0,natural_scenes,12,1.775,2.177831195926056,71,40
13,session_1,CA1,0,natural_scenes,13,1.225,1.2503845562312175,49,40
14,session_1,CA1,0,natural_scenes,14,1.375,1.3902130439944476,55,40
15,session_1,CA1,0,natural_scenes,15,1.05,1.153589715093382,42,40
16,session_1,CA1,0,natural_scenes,16,1.125,1.2022948143083794,45,40
17,session_1,CA1,0,natural_scenes,17,1.25,1.3349349355123201,50,40
18,session_1,CA1,0,natural_scenes,18,1.0,0.9336995618478525,40,40
19,session_1,CA1,0,natural_scenes,19,1.1,0.9554164080758258,44,40
20,session_1,CA1,0,natural_scenes,20,1.05,1.01147265068163,42,40
21,session_1,CA1,0,natural_scenes,21,1.15,1.2919871397311853,46,40
22,session_1,CA1,0,natural_scenes,22,1.15,1.1668498024760778,46,40
23,session_1,CA1,0,natural_scenes,23,0.975,1.4586171884919301,39,40
24,session_1,CA1,0,natural_scenes,24,0.725,0.7506407519323332,29,40
25,session_1,CA1,0,natural_scenes,25,0.85,1.1446643220859163,34,40
26,session_1,CA1,0,natural_scenes,26,0.725,1.0857468184830907,29,40
27,session_1,CA1,0,natural_scenes,27,0.9,1.2152872405004,36,40
28,session_1,CA1,0,natural_scenes,28,0.775,0.7675301714607473,31,40
29,session_1,CA1,0,natural_scenes,29,0.925,1.1632734537524392,37,40
30,session_1,CA1,1,drifting_gratings,0,0.9,1.0813097471264972,36,40
31,session_1,CA1,1,drifting_gratings,1,0.875,0.8529736822224367,35,40
32,session_1,CA1,1,drifting_gratings,2,1.1,1.6140409552202215,44,40
33,session_1,CA1,1,drifting_gratings,3,1.175,1.129726538274662,47,40
34,session_1,CA1,1,drifting_gratings,4,1.275,1.154422932764378,51,40
35,session_1,CA1,1,drifting_gratings,5,1.75,1.8222274338053472,70,40
36,session_1,CA1,1,drifting_gratings,6,1.7,1.1140133037920332,68,40
37,session_1,CA1,1,drifting_gratings,7,1.725,1.4320059446947226,69,40
38,session_1,CA1,1,drifting_gratings,8,2.075,1.7303845726400733,83,40
39,session_1,CA1,1,drifting_gratings,9,2.325,1.8311758867474004,93,40
40,session_1,CA1,1,drifting_gratings,10,2.025,1.476091512693625,81,40
41,session_1,CA1,1,drifting_gratings,11,1.425,1.2585604311968333,57,40
42,session_1,CA1,1,drifting_gratings,12,1.7,1.3625014702415028,68,40
43,session_1,CA1,1,drifting_gratings,13,1.725,1.2400889132721542,69,40
44,session_1,CA1,1,drifting_gratings,14,1.3,1.304823398994708,52,40
45,session_1,CA1,1,drifting_gratings,15,1.3,1.1367971201176101,52,40
46,session_1,CA1,1,drifting_gratings,16,1.775,1.5605308104156128,71,40
47,session_1,CA1,1,drifting_gratings,17,1.2,1.0669871313476742,48,40
48,session_1,CA1,1,drifting_gratings,18,1.05,1.131144190405087,42,40
49,session_1,CA1,1,drifting_gratings,19,0.925,0.9167249398727053,37,40
50,session_1,CA1,1,drifting_gratings,20,1.575,1.2787714456682282,63,40
51,session_1,CA1,1,drifting_gratings,21,1.1,1.0573309405993556,44,40
52,session_1,CA1,1,drifting_gratings,22,1.125,1.2234356835546658,45,40
53,session_1,CA1,1,drifting_gratings,23,1.15,0.8638019716079874,46,40
54,session_1,CA1,1,drifting_gratings,24,1.075,1.3660254906207427,43,40
55,session_1,CA1,1,drifting_gratings,25,1.2,1.6976605320414568,48,40
56,session_1,CA1,1,drifting_gratings,26,1.1,1.4286446867663216,44,40
57,session_1,CA1,1,drifting_gratings,27,0.675,0.8285761652005575,27,40
58,session_1,CA1,1,drifting_gratings,28,0.775,1.1872722453655626,31,40
59,session_1,CA1,1,drifting_gratings,29,0.85,0.8638019716079873,34,40
60,session_1,CA1,2,spontaneous,0,1.05,1.1972189997378646,42,40
61,session_1,CA1,2,spontaneous,1,1.075,0.9442810316143531,43,40
62,session_1,CA1,2,spontaneous,2,0.85,0.8929926637077694,34,40
63,session_1,CA1,2,spontaneous,3,1.275,1.3957352625325918,51,40
64,session_1,CA1,2,spontaneous,4,0.95,1.338770963349479,38,40
65,session_1,CA1,2,spontaneous,5,0.65,0.9212588934267872,26,40
66,session_1,CA1,2,spontaneous,6,0.9,1.2362059408549728,36,40
67,session_1,CA1,2,spontaneous,7,0.875,1.136515141415488,35,40
68,session_1,CA1,2,spontaneous,8,0.825,1.2171319798650664,33,40
69,session_1,CA1,2,spontaneous,9,0.775,1.0738738884082843,31,40
70,session_1,CA1,2,spontaneous,10,0.85,0.8335897041541448,34,40
71,session_1,CA1,2,spontaneous,11,0.75,0.8987170342729172,30,40
72,session_1,CA1,2,spontaneous,12,0.75,0.80860754006264,30,40
73,session_1,CA1,2,spontaneous,13,0.875,0.9657599638069015,35,40
74,session_1,CA1,2,spontaneous,14,1.15,1.3116832012772066,46,40
75,session_1,CA1,2,spontaneous,15,1.1,1.0813097471264972,44,40
76,session_1,CA1,2,spontaneous,16,1.125,1.1588566425355287,45,40
77,session_1,CA1,2,spontaneous,17,1.025,1.1654755824698058,41,40
78,session_1,CA1,2,spontaneous,18,0.875,0.9919548170024474,35,40
79,session_1,CA1,2,spontaneous,19,1.125,1.0174755084307485,45,40
80,session_1,CA1,2,spontaneous,20,0.95,1.175606771863484,38,40
81,session_1,CA1,2,spontaneous,21,1.075,1.071483515074741,43,40
82,session_1,CA1,2,spontaneous,22,0.75,0.7762500258061847,30,40
83,session_1,CA1,2,spontaneous,23,0.8,1.114013303792033,32,40
84,session_1,CA1,2,spontaneous,24,1.425,1.6468696023606384,57,40
85,session_1,CA1,2,spontaneous,25,0.9,1.0076629473115577,36,40
86,session_1,CA1,2,spontaneous,26,0.825,0.9306049865682222,33,40
87,session_1,CA1,2,spontaneous,27,1.2,1.6824889987067468,48,40
88,session_1,CA1,2,spontaneous,28,0.975,1.1206110970221697,39,40
89,session_1,CA1,2,spontaneous,29,0.8,1.0669871313476738,32,40
90,session_1,CA1,3,natural_scenes,0,1.15,1.0753651735156093,46,40
91,session_1,CA1,3,natural_scenes,1,1.225,1.1206110970221697,49,40
92,session_1,CA1,3,natural_scenes,2,1.25,1.2760114138224345,50,40
93,session_1,CA1,3,natural_scenes,3,1.225,1.1432634351063984,49,40
94,session_1,CA1,3,natural_scenes,4,1.525,1.3394889955616542,61,40
95,session_1,CA1,3,natural_scenes,5,1.775,1.5768761719102935,71,40
96,session_1,CA1,3,natural_scenes,6,2.2,1.63613051952559,88,40
97,session_1,CA1,3,natural_scenes,7,2.05,1.7533850046008077,82,40
98,session_1,CA1,3,natural_scenes,8,2.425,1.9465617288189359,97,40
99,session_1,CA1,3,natural_scenes,9,2.35,1.9942224241350506,94,40
100,session_1,CA1,3,natural_scenes,10,2.2,1.6824889987067464,88,40
101,session_1,CA1,3,natural_scenes,11,2.3,2.002562461012493,92,40
102,session_1,CA1,3,natural_scenes,12,2.05,1.6478424121816426,82,40
103,session_1,CA1,3,natural_scenes,13,1.675,1.6390663383580488,67,40
104,session_1,CA1,3,natural_scenes,14,1.2,1.4358058578855504,48,40
105,session_1,CA1,3,natural_scenes,15,1.45,1.5843788720682974,58,40
106,session_1,CA1,3,natural_scenes,16,1.475,1.484751554802075,59,40
107,session_1,CA1,3,natural_scenes,17,1.05,1.2999013769296461,42,40
108,session_1,CA1,3,natural_scenes,18,1.1,1.1502508087703842,44,40
109,session_1,CA1,3,natural_scenes,19,0.9,0.9001424388708767,36,40
110,session_1,CA1,3,natural_scenes,20,0.875,0.9111137169026735,35,40
111,session_1,CA1,3,natural_scenes,21,0.925,0.9710554659486335,37,40
112,session_1,CA1,3,natural_scenes,22,1.05,1.0365128915546464,42,40
113,session_1,CA1,3,natural_scenes,23,1.15,1.0989505483379622,46,40
114,session_1,CA1,3,natural_scenes,24,1.15,1.2919871397311853,46,40
115,session_1,CA1,3,natural_scenes,25,1.05,0.9594335935919799,42,40
116,session_1,CA1,3,natural_scenes,26,0.8,0.8227533512074423,32,40
117,session_1,CA1,3,natural_scenes,27,1.1,1.0573309405993556,44,40
118,session_1,CA1,3,natural_scenes,28,0.95,0.875595035770913,38,40
119,session_1,CA1,3,natural_scenes,29,0.975,0.9736924170788859,39,40
120,session_1,CA1,4,drifting_gratings,0,0.875,0.9111137169026735,35,40
121,session_1,CA1,4,drifting_gratings,1,1.425,0.9841695705465312,57,40
122,session_1,CA1,4,drifting_gratings,2,0.7,0.9391758525703705,28,40
123,session_1,CA1,4,drifting_gratings,3,1.425,1.356607760328908,57,40
124,session_1,CA1,4,drifting_gratings,4,1.625,1.3337339141845925,65,40
125,session_1,CA1,4,drifting_gratings,5,1.525,1.5188980486034216,61,40
126,session_1,CA1,4,drifting_gratings,6,1.55,1.4313343245789742,62,40
127,session_1,CA1,4,drifting_gratings,7,1.875,1.5222705713202538,75,40
128,session_1,CA1,4,drifting_gratings,8,1.475,1.2605961145833204,59,40
129,session_1,CA1,4,drifting_gratings,9,1.725,1.377241762289712,69,40
130,session_1,CA1,4,drifting_gratings,10,1.425,1.1958796783657648,57,40
