target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles,session_id_synthesis,lag_label,lags,n_lags
active_unit_fraction,715093703,CA1,spontaneous,2086,15,ok,0.1743556651030043,0.2597362754083855,0.0853806103053811,-0.001996760292901,0.0020961792127673,0.0873773705982821,0.0196078431372549,0.1,50,715093703,lag1,1,1
active_unit_fraction,715093703,LGd,spontaneous,2086,15,ok,0.38750088452359,0.4031560831857693,0.0156551986621793,-0.0013872550271529,0.0012152701922984,0.0170424536893322,0.0196078431372549,0.14,50,715093703,lag1,1,1
active_unit_fraction,715093703,VISl,spontaneous,2086,15,ok,0.401263167174483,0.4695151387089247,0.0682519715344416,-0.0016890374343464,0.0010869780682746,0.0699410089687881,0.0196078431372549,0.1,50,715093703,lag1,1,1
active_unit_fraction,715093703,VISp,spontaneous,2086,15,ok,0.5840284098884971,0.6253439811392166,0.0413155712507194,-0.0012869779318482,0.0008649988949651,0.0426025491825677,0.0196078431372549,0.06,50,715093703,lag1,1,1
population_rate_entropy,715093703,CA1,spontaneous,2086,15,ok,0.178209209875779,0.2507624151722878,0.0725532052965087,-0.0018460370691834,0.002190938126907,0.0743992423656921,0.0196078431372549,0.12,50,715093703,lag1,1,1
population_rate_entropy,715093703,LGd,spontaneous,2086,15,ok,0.3185141568839388,0.3400595409879487,0.0215453841040099,-0.0021130924384527,0.001803038459415,0.0236584765424626,0.0196078431372549,0.08,50,715093703,lag1,1,1
population_rate_entropy,715093703,VISl,spontaneous,2086,15,ok,0.3694324655886187,0.4488001078611281,0.0793676422725093,-0.0018300978614484,0.0012128471651729,0.0811977401339577,0.0196078431372549,0.08,50,715093703,lag1,1,1
population_rate_entropy,715093703,VISp,spontaneous,2086,15,ok,0.6248693755480426,0.6434696545073704,0.0186002789593278,-0.0006207756315381,0.0025095313475875,0.0192210545908659,0.0196078431372549,0.38,50,715093703,lag1,1,1
population_mean_rate_hz,715093703,CA1,spontaneous,2086,15,ok,0.1098831424421409,0.1483154163725334,0.0384322739303925,-0.0020237397591705,0.0013825966020536,0.040456013689563,0.0196078431372549,0.08,50,715093703,lag1,1,1
population_mean_rate_hz,715093703,LGd,spontaneous,2086,15,ok,0.4948338170317263,0.50734325416389,0.0125094371321636,-0.0013619867362556,0.0011405226524892,0.0138714238684192,0.0196078431372549,0.18,50,715093703,lag1,1,1
population_mean_rate_hz,715093703,VISl,spontaneous,2086,15,ok,0.4161537407719975,0.474036219264569,0.0578824784925715,-0.0015848013220614,0.0012047157601297,0.059467279814633,0.0196078431372549,0.08,50,715093703,lag1,1,1
population_mean_rate_hz,715093703,VISp,spontaneous,2086,15,ok,0.5112532395018272,0.5304060632478168,0.0191528237459895,-0.0011962132523235,0.0009418154657224,0.0203490369983131,0.0196078431372549,0.1,50,715093703,lag1,1,1
