target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles
active_unit_fraction,755434585,CA1,spontaneous,2087,15,ok,0.07169033764431043,0.10831105956526343,0.036620721920953,-0.003161953564291993,0.001290186371295969,0.039782675485244993,0.0196078431372549,0.0,50
active_unit_fraction,755434585,LGd,spontaneous,2087,15,ok,0.6107918697578673,0.6421320129838244,0.03134014322595713,-0.0008831052067235357,0.0007861507385097964,0.032223248432680665,0.0196078431372549,0.08,50
active_unit_fraction,755434585,VISl,spontaneous,2087,15,ok,0.12977830803786106,0.1343174597982525,0.0045391517603914355,-0.0025688903165421496,0.0015257642410480218,0.007108042076933585,0.0196078431372549,0.08,50
active_unit_fraction,755434585,VISp,spontaneous,2087,15,ok,0.07281622811983912,0.07977570477705875,0.006959476657219632,-0.001913989093513082,0.0017311510644217,0.008873465750732714,0.0196078431372549,0.12,50
population_rate_entropy,755434585,CA1,spontaneous,2087,15,ok,0.06716922545383963,0.11288152145636954,0.045712296002529906,-0.002232707084652028,0.0017089537531699316,0.047945003087181935,0.0196078431372549,0.06,50
population_rate_entropy,755434585,LGd,spontaneous,2087,15,ok,0.44948933214717424,0.48720840705882806,0.03771907491165383,-0.0014419661536512573,0.0009553333564498744,0.03916104106530508,0.0196078431372549,0.08,50
population_rate_entropy,755434585,VISl,spontaneous,2087,15,ok,0.10506258313226813,0.11463895301550386,0.009576369883235736,-0.0024094408964881174,0.001575001529135334,0.011985810779723853,0.0196078431372549,0.06,50
population_rate_entropy,755434585,VISp,spontaneous,2087,15,ok,0.06351209348020481,0.07346787595040549,0.00995578247020068,-0.002120614622066466,0.0015184359446123842,0.012076397092267146,0.0196078431372549,0.08,50
population_mean_rate_hz,755434585,CA1,spontaneous,2087,15,ok,0.16096779691543706,0.18957101208569538,0.028603215170258323,-0.0025205537314816474,0.0014685101639642355,0.03112376890173997,0.0196078431372549,0.04,50
population_mean_rate_hz,755434585,LGd,spontaneous,2087,15,ok,0.7700177218306283,0.796132664217869,0.02611494238724066,-0.0006291771972397475,0.0004302108166932859,0.026744119584480405,0.0196078431372549,0.1,50
population_mean_rate_hz,755434585,VISl,spontaneous,2087,15,ok,0.15352010947533035,0.1541542743242098,0.0006341648488794593,-0.0022402550476313342,0.0013800691704658787,0.0028744198965107936,0.0392156862745098,0.08,50
population_mean_rate_hz,755434585,VISp,spontaneous,2087,15,ok,0.14909099437040174,0.1494183178215832,0.00032732345118147155,-0.00227017674187455,0.0017191490628159058,0.0025975001930560217,0.09803921568627451,0.1,50
population_state_speed,755434585,CA1,spontaneous,2087,15,ok,0.0913986142592117,0.08751917015224142,-0.0038794441069702756,-0.002771639643877386,0.0014262961035751275,-0.0011078044630928895,0.7647058823529411,0.02,50
population_state_speed,755434585,LGd,spontaneous,2087,15,ok,0.09545413804224956,0.09899778325248709,0.0035436452102375338,-0.0026638367049276247,0.0014944432980342679,0.006207481915165158,0.0196078431372549,0.04,50
population_state_speed,755434585,VISl,spontaneous,2087,15,ok,0.2667523408243643,0.2901247727522328,0.02337243192786853,-0.0015658283409421302,0.001348259422794101,0.02493826026881066,0.0196078431372549,0.14,50
population_state_speed,755434585,VISp,spontaneous,2087,15,ok,0.27729528683166993,0.29130071010023306,0.014005423268563133,-0.0020610567833455563,0.0010238847036571981,0.01606648005190869,0.0196078431372549,0.06,50
