target,lag_label,lags,n_lags,n_sessions,median_rank,mean_rank,median_observed_gain,mean_observed_gain,median_observed_minus_shuffle,mean_observed_minus_shuffle,min_fraction_above_shuffle,median_empirical_p,lag_order
active_unit_fraction,lag1,1,1,3,1.0,1.3333333333333333,0.0448738164172836,0.04229674335413053,0.046498599820715,0.04396578947978883,1.0,0.0196078431372549,0
active_unit_fraction,lag2,2,1,3,1.0,1.3333333333333333,0.0444436078048,0.04496133123419683,0.046028604108302,0.046576026804441166,1.0,0.0196078431372549,1
active_unit_fraction,lag12,"1,2",2,3,1.0,1.3333333333333333,0.0626438044055023,0.060735952512180565,0.0660973252588628,0.0639457859089254,1.0,0.0196078431372549,2
active_unit_fraction,lag123,"1,2,3",3,3,1.0,1.3333333333333333,0.07154021282663,0.0679826272573051,0.0761220292083239,0.0728890889929006,1.0,0.0196078431372549,3
active_unit_fraction,lag1234,"1,2,3,4",4,3,1.0,1.3333333333333333,0.0801479176481942,0.07381693476747754,0.0871061407545787,0.0805778717158025,1.0,0.0196078431372549,4
population_mean_rate_hz,lag1,1,1,3,3.0,3.0,0.028792548838191,0.024922262514111632,0.0304025253439381,0.026516644798261064,0.75,0.0196078431372549,0
population_mean_rate_hz,lag2,2,1,3,3.0,3.0,0.0262147146211091,0.0261728368292509,0.0278740932030167,0.027787394043913432,1.0,0.0196078431372549,1
population_mean_rate_hz,lag12,"1,2",2,3,3.0,3.0,0.0359017180013925,0.03370273748610923,0.0390639561734661,0.036899094700379234,1.0,0.0196078431372549,2
population_mean_rate_hz,lag123,"1,2,3",3,3,3.0,3.0,0.0417313865096848,0.0393906733364277,0.0466466412411595,0.04446512240420227,1.0,0.0196078431372549,3
population_mean_rate_hz,lag1234,"1,2,3,4",4,3,3.0,3.0,0.0442603727269768,0.04151286698892897,0.050860264368096,0.048349146041452906,1.0,0.0196078431372549,4
population_rate_entropy,lag1,1,1,3,2.0,1.6666666666666667,0.0380389742156936,0.041226063251676,0.0395108827957044,0.04285014163130163,1.0,0.0196078431372549,0
population_rate_entropy,lag2,2,1,3,2.0,1.6666666666666667,0.0459094696777648,0.04633370622228506,0.0480058745834322,0.048063660955653,1.0,0.0196078431372549,1
population_rate_entropy,lag12,"1,2",2,3,2.0,1.6666666666666667,0.0603448354198344,0.060679337775323194,0.0643047010303212,0.06401565957703674,1.0,0.0196078431372549,2
population_rate_entropy,lag123,"1,2,3",3,3,2.0,1.6666666666666667,0.071567223809018,0.06721606178185367,0.0772182638387857,0.07259786109821316,0.75,0.0196078431372549,3
population_rate_entropy,lag1234,"1,2,3,4",4,3,2.0,1.6666666666666667,0.0739492151944682,0.07461717773789557,0.0816464534015212,0.08150876262662506,1.0,0.0196078431372549,4
population_state_speed,lag1,1,1,3,4.0,4.0,0.0018489541793595,0.005253175385500967,0.0042567355992362,0.007640343210635367,0.75,0.0784313725490196,0
population_state_speed,lag2,2,1,3,4.0,4.0,0.0095643363305687,-0.003342018870965267,0.0120484170949255,-0.0010029650471046335,0.25,0.0196078431372549,1
population_state_speed,lag12,"1,2",2,3,4.0,4.0,0.0079063849724122,0.0009355357933511678,0.012948507148955,0.005731064187553467,0.25,0.0196078431372549,2
population_state_speed,lag123,"1,2,3",3,3,4.0,4.0,0.0053274861579594,-0.005016951039961601,0.012579641366199,0.0022620580977149,0.5,0.0392156862745098,3
population_state_speed,lag1234,"1,2,3,4",4,3,4.0,4.0,0.0026820996028272,-0.009821581568140567,0.0123230486271633,0.00012790169734696577,0.5,0.0490196078431372,4
