target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory,session_id_synthesis
active_unit_fraction,4,0.3901288303608387,0.4479495407749024,0.0763959518400877,0.0733887483034996,1.0,-0.0031519860297014,-0.0030994048766481,0.0791123773488684,0.0764881531801477,1.0,0.0099009900990099,0.0099009900990099,1,715093703
population_rate_entropy,4,0.3351142956769236,0.4026635039623097,0.064254393559415,0.0659018009224006,1.0,-0.0035100608994182,-0.0030406580624878,0.0675097561464506,0.0689424589848884,1.0,0.0099009900990099,0.0099009900990099,2,715093703
population_std_rate_hz,4,0.2551227446157733,0.2811110998412877,0.0402261207216364,0.0331072379735754,1.0,-0.0041156354483041,-0.0037888360640513,0.0436881574014349,0.0368960740376267,1.0,0.0099009900990099,0.0099009900990099,3,715093703
population_l2_rate_norm,4,0.3580854731034191,0.3913145443887276,0.0368758139824326,0.0350524426338705,1.0,-0.0033779694112495,-0.0036871032848391,0.0408720511408614,0.0387395459187097,1.0,0.0099009900990099,0.0099009900990099,4,715093703
population_mean_rate_hz,4,0.4546169053423721,0.5005236184751188,0.0359017180013925,0.0409042155670696,1.0,-0.0029378963632858,-0.0032630543611205,0.0394899303603479,0.0441672699281902,1.0,0.0099009900990099,0.0099009900990099,5,715093703
population_state_speed,4,0.046187962334833,0.0356438771333566,-0.0102807701988238,-0.0215886388337181,0.25,-0.005174850189671,-0.0051740471642999,-0.0048376994496615,-0.0164145916694182,0.25,0.7821782178217822,0.0099009900990099,6,715093703
active_unit_fraction,4,0.3655614531550856,0.4309029809530109,0.0626438044055023,0.0588930885979549,1.0,-0.0033508000105225,-0.0033679761396939,0.0661692371921058,0.0622610647376488,1.0,0.0099009900990099,0.0099009900990099,1,719161530
population_rate_entropy,4,0.2973927528117416,0.3564266006281308,0.0590338478163892,0.0549330030053003,1.0,-0.0034241103706226,-0.0034504855114411,0.0625107084686488,0.0583834885167414,1.0,0.0099009900990099,0.0099009900990099,2,719161530
population_mean_rate_hz,4,0.3686762342366366,0.3959854902796431,0.0375428265175987,0.0328700793512096,1.0,-0.0034324069404586,-0.0034038600462404,0.0413850396872973,0.0362739393974501,1.0,0.0099009900990099,0.0099009900990099,3,719161530
population_l2_rate_norm,4,0.2920095371312733,0.3124880502026369,0.0330377603021599,0.0267581366867617,1.0,-0.0040736193729552,-0.0038316636113516,0.0366274681519081,0.0305898002981134,1.0,0.0099009900990099,0.0099009900990099,4,719161530
population_std_rate_hz,4,0.2479248262908641,0.2700998015598256,0.0243944521854589,0.0232847137272102,1.0,-0.0041204925410196,-0.0042099740285254,0.0287368673069496,0.0274946877557357,1.0,0.0099009900990099,0.0099009900990099,5,719161530
population_state_speed,4,0.1147295356202487,0.1255235297523598,0.0079063849724122,0.0087068657253017,1.0,-0.0051255197695208,-0.0052089055413942,0.0128822757725566,0.013915771266696,1.0,0.0099009900990099,0.0099009900990099,6,719161530
population_rate_entropy,4,0.2410397075479046,0.3095550509090208,0.0603448354198344,0.0612032093982687,1.0,-0.0037139725005522,-0.0036548595519978,0.0644218049949266,0.0648580689502666,1.0,0.0099009900990099,0.0099009900990099,1,750749662
active_unit_fraction,4,0.2271452488811294,0.2880140442080734,0.0452814658616493,0.0499260206350872,1.0,-0.0036979055106633,-0.0034730901402015,0.0481549849441414,0.0533991107752887,1.0,0.0099009900990099,0.0099009900990099,2,750749662
population_mean_rate_hz,4,0.2823435097730241,0.3207527569225556,0.0303895911665497,0.0273339175400485,0.75,-0.003548312145173,-0.0032257242182297,0.0332234944751957,0.0305596417582783,1.0,0.0099009900990099,0.0099009900990099,3,750749662
population_state_speed,4,0.1350685140145809,0.1448034547000865,0.0174675013043252,0.0156883804884699,0.75,-0.0043897296495657,-0.0043534135941946,0.0216695641261784,0.0200417940826646,0.75,0.0099009900990099,0.0099009900990099,4,750749662
population_l2_rate_norm,4,0.1990822256719804,0.2205804190803243,0.0177161085721729,0.0158794084546886,0.75,-0.0041477868099864,-0.0037400577330285,0.0210431964309483,0.0196194661877171,0.75,0.0099009900990099,0.0099009900990099,5,750749662
population_std_rate_hz,4,0.134033355161145,0.1517068826373082,0.0156609303634531,0.0140658378613037,0.75,-0.004557768361771,-0.0041286465247406,0.0191919254424161,0.0181944843860443,0.75,0.0099009900990099,0.0099009900990099,6,750749662
active_unit_fraction,4,0.4382223196946292,0.4873902553504611,0.0687373461592981,0.0624233550961916,1.0,-0.0030447368910598,-0.0034709711413277,0.0717146895425453,0.0658943262375193,1.0,0.0099009900990099,0.0099009900990099,1,751348571
population_rate_entropy,4,0.3769954296435567,0.4176858559358524,0.059263964098928,0.0593304840704297,1.0,-0.0033616233873778,-0.0035553840771837,0.0626255874863059,0.0628858681476134,1.0,0.0099009900990099,0.0099009900990099,2,751348571
population_mean_rate_hz,4,0.3987027724567406,0.4304978930801656,0.0317951206234251,0.0509759442076105,1.0,-0.0029656602566131,-0.0030201154781851,0.0347607808800382,0.0539960596857956,1.0,0.0099009900990099,0.0099009900990099,3,751348571
population_std_rate_hz,4,0.2165481510158259,0.2411966634625422,0.0246485124467162,0.0515209091661742,1.0,-0.0039339267232864,-0.0040609996124163,0.0285824391700027,0.0555819087785906,1.0,0.0099009900990099,0.0099009900990099,4,751348571
population_l2_rate_norm,4,0.2846097656991842,0.3664469161029038,0.0186757953484049,0.0475468073247306,1.0,-0.0035509756071873,-0.0036448404873166,0.0219275336683181,0.0511916478120472,1.0,0.0099009900990099,0.0099009900990099,5,751348571
