session_id,axis_a,axis_b,correlation_kind,corr,abs_corr
715093703,H,R,raw_pre_residualization,-0.269777640221256,0.269777640221256
715093703,H,S,raw_pre_residualization,-0.07298658013050566,0.07298658013050566
715093703,H,M,raw_pre_residualization,0.7960485622138227,0.7960485622138227
715093703,R,S,raw_pre_residualization,0.6584217396418236,0.6584217396418236
715093703,R,M,raw_pre_residualization,-0.2346153625265472,0.2346153625265472
715093703,S,M,raw_pre_residualization,0.02517125758163682,0.02517125758163682
719161530,H,R,raw_pre_residualization,-0.22636056516366065,0.22636056516366065
719161530,H,S,raw_pre_residualization,-0.008278599526911916,0.008278599526911916
719161530,H,M,raw_pre_residualization,0.8780002352334374,0.8780002352334374
719161530,R,S,raw_pre_residualization,0.6021859774230913,0.6021859774230913
719161530,R,M,raw_pre_residualization,-0.2234610470629765,0.2234610470629765
719161530,S,M,raw_pre_residualization,0.05935870425082482,0.05935870425082482
750749662,H,R,raw_pre_residualization,-0.2756720220476644,0.2756720220476644
750749662,H,S,raw_pre_residualization,-0.07696194070355963,0.07696194070355963
750749662,H,M,raw_pre_residualization,0.8178633089667929,0.8178633089667929
750749662,R,S,raw_pre_residualization,0.700847462203639,0.700847462203639
750749662,R,M,raw_pre_residualization,-0.2723729023586246,0.2723729023586246
750749662,S,M,raw_pre_residualization,-0.02141652502457275,0.02141652502457275
751348571,H,R,raw_pre_residualization,-0.2607981589764522,0.2607981589764522
751348571,H,S,raw_pre_residualization,-0.1009789818604272,0.1009789818604272
751348571,H,M,raw_pre_residualization,0.820815718172812,0.820815718172812
751348571,R,S,raw_pre_residualization,0.6412393508088458,0.6412393508088458
751348571,R,M,raw_pre_residualization,-0.24024557315501555,0.24024557315501555
751348571,S,M,raw_pre_residualization,-0.017117315604483936,0.017117315604483936
755434585,H,R,raw_pre_residualization,-0.2771757073515092,0.2771757073515092
755434585,H,S,raw_pre_residualization,-0.11361371985501775,0.11361371985501775
755434585,H,M,raw_pre_residualization,0.6484689971974328,0.6484689971974328
755434585,R,S,raw_pre_residualization,0.6833140413464188,0.6833140413464188
755434585,R,M,raw_pre_residualization,-0.14974457884285775,0.14974457884285775
755434585,S,M,raw_pre_residualization,0.09807227019046298,0.09807227019046298
756029989,H,R,raw_pre_residualization,-0.19948733027149013,0.19948733027149013
756029989,H,S,raw_pre_residualization,-0.06958720290271649,0.06958720290271649
756029989,H,M,raw_pre_residualization,0.7867664223017925,0.7867664223017925
756029989,R,S,raw_pre_residualization,0.620576095599619,0.620576095599619
756029989,R,M,raw_pre_residualization,-0.14863501976146004,0.14863501976146004
756029989,S,M,raw_pre_residualization,0.13603388731878738,0.13603388731878738
