scope,target,scale_metric,n,pearson_r,spearman_r
within_target,active_unit_fraction,target_sd,24,-0.40221439650824203,-0.23130434782608694
within_target,active_unit_fraction,target_var,24,-0.41453700719007475,-0.23130434782608694
within_target,active_unit_fraction,target_iqr,24,0.007072793529475693,-0.09856654566680247
within_target,active_unit_fraction,target_cv_abs,24,0.23848655475885033,0.24
within_target,active_unit_fraction,target_lag1_autocorr,24,-0.29787026088987795,-0.24
within_target,population_l2_rate_norm,target_sd,24,-0.03142978745699154,0.00608695652173913
within_target,population_l2_rate_norm,target_var,24,-0.02986594519912458,0.00608695652173913
within_target,population_l2_rate_norm,target_iqr,24,0.11889851014119782,0.16347826086956518
within_target,population_l2_rate_norm,target_cv_abs,24,-0.5705501153960804,-0.6243478260869564
within_target,population_l2_rate_norm,target_lag1_autocorr,24,0.2794088604468008,0.3104347826086956
within_target,population_mean_rate_hz,target_sd,24,-0.03334764917904698,0.03043478260869565
within_target,population_mean_rate_hz,target_var,24,-0.00014295478430305063,0.03043478260869565
within_target,population_mean_rate_hz,target_iqr,24,0.021840229478012136,0.08186380071380035
within_target,population_mean_rate_hz,target_cv_abs,24,-0.5257605315162315,-0.5321739130434783
within_target,population_mean_rate_hz,target_lag1_autocorr,24,0.17589135123709096,0.16
within_target,population_rate_entropy,target_sd,24,0.24403136837327907,0.1869565217391304
within_target,population_rate_entropy,target_var,24,0.2619588696873621,0.1869565217391304
within_target,population_rate_entropy,target_iqr,24,0.5123778955512747,0.5469565217391303
within_target,population_rate_entropy,target_cv_abs,24,0.38943380306501313,0.32
within_target,population_rate_entropy,target_lag1_autocorr,24,-0.24702834599335138,-0.25130434782608696
within_target,population_state_speed,target_sd,24,0.21806046364825465,0.4052173913043478
within_target,population_state_speed,target_var,24,0.21895439375158354,0.4052173913043478
within_target,population_state_speed,target_iqr,24,0.0977738817636043,0.19565217391304346
within_target,population_state_speed,target_cv_abs,24,0.1942345299825291,0.2939130434782608
within_target,population_state_speed,target_lag1_autocorr,24,0.45537700935351133,0.7086956521739128
within_target,population_std_rate_hz,target_sd,24,0.015035767001689649,0.05826086956521739
within_target,population_std_rate_hz,target_var,24,0.02590050784780238,0.05826086956521739
within_target,population_std_rate_hz,target_iqr,24,0.21880755743988461,0.17652173913043476
within_target,population_std_rate_hz,target_cv_abs,24,-0.5156568232656606,-0.4530434782608695
within_target,population_std_rate_hz,target_lag1_autocorr,24,0.40646377580103477,0.4782608695652173
all_targets,ALL,target_sd,144,-0.21094030326514432,-0.3898119122257054
all_targets,ALL,target_var,144,-0.12067554437806481,-0.3898119122257054
all_targets,ALL,target_iqr,144,-0.15397620459772413,-0.35284518396383885
all_targets,ALL,target_cv_abs,144,-0.4151654925926763,-0.5220118961498272
all_targets,ALL,target_lag1_autocorr,144,0.25998969837522606,0.39147576561369674
