target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles,session_id_synthesis
population_mean_rate_hz,715093703,CA1,spontaneous,2071,15,ok,0.1075307031008051,0.1548576497901231,0.047326946689318,-0.0046934975216601,0.0021022877113012,0.0520204442109781,0.0099009900990099,0.0,100,715093703
population_mean_rate_hz,715093703,LGd,spontaneous,2071,15,ok,0.4943281235827373,0.5099113229395623,0.0155831993568249,-0.0028526320179625,0.0013059346999559,0.0184358313747874,0.0099009900990099,0.02,100,715093703
population_mean_rate_hz,715093703,VISl,spontaneous,2071,15,ok,0.4149056871020068,0.4911359140106753,0.0762302269086685,-0.0030231607086091,0.0014788709321464,0.0792533876172776,0.0099009900990099,0.03,100,715093703
population_mean_rate_hz,715093703,VISp,spontaneous,2071,15,ok,0.5111251225302448,0.5356016118437119,0.0244764893134671,-0.0024829271962505,0.0014473496746455,0.0269594165097177,0.0099009900990099,0.05,100,715093703
population_std_rate_hz,715093703,CA1,spontaneous,2071,15,ok,0.0852413148962261,0.1292676696630614,0.0440263547668353,-0.00437507957213,0.0027873814448551,0.0484014343389653,0.0099009900990099,0.09,100,715093703
population_std_rate_hz,715093703,LGd,spontaneous,2071,15,ok,0.2408740739545219,0.2431051960871798,0.0022311221326578,-0.0043099705745975,0.0019872282064609,0.0065410927072554,0.0099009900990099,0.02,100,715093703
population_std_rate_hz,715093703,VISl,spontaneous,2071,15,ok,0.2693714152770247,0.3191170035953956,0.0497455883183709,-0.0039213003220106,0.001759352521352,0.0536668886403816,0.0099009900990099,0.03,100,715093703
population_std_rate_hz,715093703,VISp,spontaneous,2071,15,ok,0.4770034905182039,0.5134293771946414,0.0364258866764375,-0.002548993787467,0.0023289995381639,0.0389748804639045,0.0099009900990099,0.18,100,715093703
active_unit_fraction,715093703,CA1,spontaneous,2071,15,ok,0.1724975248948805,0.2899102089311746,0.117412684036294,-0.0037325638701709,0.0028220064294939,0.121145247906465,0.0099009900990099,0.07,100,715093703
active_unit_fraction,715093703,LGd,spontaneous,2071,15,ok,0.3811227566636568,0.4044731621611858,0.0233504054975289,-0.0032322046188601,0.0017819523576664,0.026582610116389,0.0099009900990099,0.03,100,715093703
active_unit_fraction,715093703,VISl,spontaneous,2071,15,ok,0.3991349040580205,0.4914259193886191,0.0922910153305985,-0.0030717674405427,0.001642180649358,0.0953627827711413,0.0099009900990099,0.07,100,715093703
active_unit_fraction,715093703,VISp,spontaneous,2071,15,ok,0.5817885820715915,0.6422894704211684,0.0605008883495769,-0.0023610835770185,0.0013531595251959,0.0628619719265954,0.0099009900990099,0.03,100,715093703
population_l2_rate_norm,715093703,CA1,spontaneous,2071,15,ok,0.0877689611219857,0.1323719646550969,0.0446030035331111,-0.0054323148942475,0.0022413234778172,0.0500353184273587,0.0099009900990099,0.03,100,715093703
population_l2_rate_norm,715093703,LGd,spontaneous,2071,15,ok,0.3880625461206558,0.3951159781038186,0.0070534319831627,-0.0032498763942809,0.0016666442661044,0.0103033083774437,0.0099009900990099,0.04,100,715093703
population_l2_rate_norm,715093703,VISl,spontaneous,2071,15,ok,0.3281084000861825,0.3875131106736367,0.0594047105874542,-0.003506062428218,0.0019405494176591,0.0629107730156723,0.0099009900990099,0.06,100,715093703
population_l2_rate_norm,715093703,VISp,spontaneous,2071,15,ok,0.4912843673853508,0.5204329918171049,0.029148624431754,-0.0025601594226101,0.0023480084429871,0.0317087838543641,0.0099009900990099,0.12,100,715093703
population_rate_entropy,715093703,CA1,spontaneous,2071,15,ok,0.1766947097874124,0.2734419660816017,0.0967472562941893,-0.0038236859405771,0.0023988864434564,0.1005709422347665,0.0099009900990099,0.07,100,715093703
population_rate_entropy,715093703,LGd,spontaneous,2071,15,ok,0.3030343310231586,0.3336331688494458,0.0305988378262872,-0.0038497322318476,0.0018917072413211,0.0344485700581348,0.0099009900990099,0.06,100,715093703
population_rate_entropy,715093703,VISl,spontaneous,2071,15,ok,0.3671942603306887,0.4716938390751737,0.104499578744485,-0.0031964358582593,0.0017023505312769,0.1076960146027443,0.0099009900990099,0.05,100,715093703
population_rate_entropy,715093703,VISp,spontaneous,2071,15,ok,0.6221265846703372,0.653888115494978,0.0317615308246408,-0.0012927782192671,0.003129515481881,0.0330543090439079,0.0099009900990099,0.31,100,715093703
population_state_speed,715093703,CA1,spontaneous,2071,15,ok,0.1251049296160619,0.1471346755550523,0.0220297459389904,-0.0049589205110539,0.0020329071157967,0.0269886664500443,0.0099009900990099,0.03,100,715093703
population_state_speed,715093703,LGd,spontaneous,2071,15,ok,0.0329353536712772,0.0268223755864762,-0.0061129780848009,-0.0054953616300362,0.0024400531216696,-0.0006176164547646,0.5643564356435643,0.01,100,715093703
population_state_speed,715093703,VISl,spontaneous,2071,15,ok,0.0589139409930837,0.044465378680237,-0.0144485623128467,-0.0053907798682882,0.0025129663464908,-0.0090577824445584,1.0,0.02,100,715093703
population_state_speed,715093703,VISp,spontaneous,2071,15,ok,0.0334619836765823,-0.0543607771996328,-0.0878227608762152,-0.0048511266478211,0.0037922015300998,-0.082971634228394,1.0,0.1,100,715093703
population_mean_rate_hz,719161530,CA1,spontaneous,2071,15,ok,0.1531133204647743,0.185577318427576,0.0324639979628017,-0.0044883366948149,0.0023561391924928,0.0369523346576166,0.0099009900990099,0.03,100,719161530
population_mean_rate_hz,719161530,LGd,spontaneous,2071,15,ok,0.6185121364429058,0.6629099437989295,0.0443978073560237,-0.0022622896092297,0.0011675554643003,0.0466600969652534,0.0099009900990099,0.06,100,719161530
population_mean_rate_hz,719161530,VISl,spontaneous,2071,15,ok,0.3154258055591153,0.3274226625727326,0.0119968570136173,-0.003668724236335,0.0017763241046002,0.0156655812499523,0.0099009900990099,0.02,100,719161530
population_mean_rate_hz,719161530,VISp,spontaneous,2071,15,ok,0.4219266629141578,0.4645483179865536,0.0426216550723957,-0.0031960896445821,0.0017648964391705,0.0458177447169779,0.0099009900990099,0.05,100,719161530
population_std_rate_hz,719161530,CA1,spontaneous,2071,15,ok,0.1373032764594539,0.1702910788078222,0.0329878023483682,-0.0048602687626466,0.0024207203643103,0.0378480711110149,0.0099009900990099,0.04,100,719161530
population_std_rate_hz,719161530,LGd,spontaneous,2071,15,ok,0.2847256506907361,0.3005267527132857,0.0158011020225496,-0.0038245614803346,0.0019091210835759,0.0196256635028843,0.0099009900990099,0.04,100,719161530
population_std_rate_hz,719161530,VISl,spontaneous,2071,15,ok,0.2402540415445565,0.2430460130077373,0.0027919714631807,-0.0044164236017045,0.0018327514074561,0.0072083950648853,0.0198019801980198,0.01,100,719161530
