scope,target,scale_metric,n,pearson_r,spearman_r
within_target,active_unit_fraction,target_sd,12,-0.321341196405597,-0.18881118881118883
within_target,active_unit_fraction,target_var,12,-0.33197645908842416,-0.18881118881118883
within_target,active_unit_fraction,target_iqr,12,-0.0953353401400176,0.06372170488427706
within_target,active_unit_fraction,target_cv_abs,12,0.39180488709374156,0.3426573426573427
within_target,active_unit_fraction,target_lag1_autocorr,12,-0.22397889326492532,-0.2027972027972028
within_target,population_l2_rate_norm,target_sd,12,0.05154496709649223,-0.055944055944055944
within_target,population_l2_rate_norm,target_var,12,0.10716165919190647,-0.055944055944055944
within_target,population_l2_rate_norm,target_iqr,12,0.12419734387954295,0.027972027972027972
within_target,population_l2_rate_norm,target_cv_abs,12,-0.4695993099770109,-0.3846153846153847
within_target,population_l2_rate_norm,target_lag1_autocorr,12,0.26852043244134494,0.08391608391608392
within_target,population_mean_rate_hz,target_sd,12,0.008218487351044758,0.027972027972027972
within_target,population_mean_rate_hz,target_var,12,0.0634037067326456,0.027972027972027972
within_target,population_mean_rate_hz,target_iqr,12,0.09670364939760293,0.23117373455165427
within_target,population_mean_rate_hz,target_cv_abs,12,-0.2516876105453219,-0.1958041958041958
within_target,population_mean_rate_hz,target_lag1_autocorr,12,0.2210457665585949,0.09090909090909093
within_target,population_rate_entropy,target_sd,12,0.529526923122895,0.44755244755244755
within_target,population_rate_entropy,target_var,12,0.515733415616765,0.44755244755244755
within_target,population_rate_entropy,target_iqr,12,0.6548090518041162,0.7342657342657343
within_target,population_rate_entropy,target_cv_abs,12,0.6263548434622298,0.6433566433566434
within_target,population_rate_entropy,target_lag1_autocorr,12,-0.49776440968838265,-0.5594405594405596
within_target,population_state_speed,target_sd,12,0.26006860698605444,0.5874125874125874
within_target,population_state_speed,target_var,12,0.30115945841177927,0.5874125874125874
within_target,population_state_speed,target_iqr,12,0.14629061703693066,0.35664335664335667
within_target,population_state_speed,target_cv_abs,12,0.156658190986629,0.3636363636363637
within_target,population_state_speed,target_lag1_autocorr,12,0.5098515209335032,0.7482517482517484
within_target,population_std_rate_hz,target_sd,12,0.05821660925742223,0.07692307692307693
within_target,population_std_rate_hz,target_var,12,0.13265131413964845,0.07692307692307693
within_target,population_std_rate_hz,target_iqr,12,0.12538645694964246,0.034965034965034975
within_target,population_std_rate_hz,target_cv_abs,12,-0.38252995126020894,-0.18881118881118883
within_target,population_std_rate_hz,target_lag1_autocorr,12,0.29829294170276144,0.3356643356643357
all_targets,ALL,target_sd,72,-0.385596738841639,-0.5594571998199241
all_targets,ALL,target_var,72,-0.2267316046810679,-0.5594571998199241
all_targets,ALL,target_iqr,72,-0.33985590107074565,-0.5368214572461643
all_targets,ALL,target_cv_abs,72,-0.5061002994422357,-0.5014148819859799
all_targets,ALL,target_lag1_autocorr,72,0.41600856857781976,0.4089652067657085
