target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles
population_mean_rate_hz,715093703,CA1,drifting_gratings,120,20,ok,0.059487565854851154,0.04724344295836458,-0.012244122896486576,-0.08410396699147263,0.048575847766898245,0.07185984409498605,0.07920792079207921,0.04,100
population_mean_rate_hz,715093703,CA1,natural_scenes,0,0,skipped_too_few_rows,,,,,,,,,0
population_mean_rate_hz,715093703,CA1,spontaneous,488,15,ok,0.06901652841200989,-0.012560200910161301,-0.0815767293221712,-0.022267655920134456,0.012652732181675968,-0.05930907340203674,1.0,0.05,100
population_mean_rate_hz,715093703,LGd,drifting_gratings,120,20,ok,0.29594627772440385,0.2643640485501799,-0.03158222917422393,-0.07335326361551753,0.03741500041527876,0.0417710344412936,0.13861386138613863,0.03,100
population_mean_rate_hz,715093703,LGd,natural_scenes,0,0,skipped_too_few_rows,,,,,,,,,0
population_mean_rate_hz,715093703,LGd,spontaneous,488,15,ok,0.4154712935802418,0.43436134829328443,0.018890054713042614,-0.01317478336917547,0.006324240927550882,0.032064838082218085,0.009900990099009901,0.05,100
population_mean_rate_hz,715093703,VISl,drifting_gratings,120,20,ok,0.48697016975668506,0.49156436806792836,0.004594198311243303,-0.05312143672029461,0.026719546992054213,0.05771563503153791,0.019801980198019802,0.04,100
population_mean_rate_hz,715093703,VISl,natural_scenes,0,0,skipped_too_few_rows,,,,,,,,,0
population_mean_rate_hz,715093703,VISl,spontaneous,488,15,ok,0.3163569868005519,0.3717196242111732,0.05536263741062131,-0.015088269852939856,0.007767899031279667,0.07045090726356117,0.009900990099009901,0.02,100
population_mean_rate_hz,715093703,VISp,drifting_gratings,120,20,ok,0.4124832693990562,0.4087690626916217,-0.0037142067074344975,-0.05097414381827726,0.027459373126495636,0.04725993711084276,0.0594059405940594,0.03,100
population_mean_rate_hz,715093703,VISp,natural_scenes,0,0,skipped_too_few_rows,,,,,,,,,0
population_mean_rate_hz,715093703,VISp,spontaneous,488,15,ok,0.21256410811489312,0.3771996710720159,0.16463556295712278,-0.015216946038013952,0.035698718595902866,0.17985250899513675,0.009900990099009901,0.34,100
population_std_rate_hz,715093703,CA1,drifting_gratings,120,20,ok,0.07061437410511029,0.0057491016143847995,-0.06486527249072549,-0.09313597646131073,0.05164290857135071,0.028270703970585245,0.3069306930693069,0.04,100
population_std_rate_hz,715093703,CA1,natural_scenes,0,0,skipped_too_few_rows,,,,,,,,,0
population_std_rate_hz,715093703,CA1,spontaneous,488,15,ok,0.09339872624348622,0.0782469002088737,-0.015151826034612514,-0.02129296954384157,0.010975189961572736,0.0061411435092290564,0.27722772277227725,0.03,100
population_std_rate_hz,715093703,LGd,drifting_gratings,120,20,ok,0.26680122068530143,0.15046238182290272,-0.11633883886239871,-0.060135468914226525,0.04054222347035081,-0.05620336994817218,0.9207920792079208,0.06,100
population_std_rate_hz,715093703,LGd,natural_scenes,0,0,skipped_too_few_rows,,,,,,,,,0
population_std_rate_hz,715093703,LGd,spontaneous,488,15,ok,0.20331624064215348,0.19617827121762443,-0.007137969424529045,-0.017692360828803405,0.009094155857089486,0.01055439140427436,0.12871287128712872,0.02,100
population_std_rate_hz,715093703,VISl,drifting_gratings,120,20,ok,0.35939871424574665,0.3713475424751157,0.011948828229369046,-0.06823391338065955,0.03648993535533038,0.0801827416100286,0.0297029702970297,0.03,100
population_std_rate_hz,715093703,VISl,natural_scenes,0,0,skipped_too_few_rows,,,,,,,,,0
population_std_rate_hz,715093703,VISl,spontaneous,488,15,ok,0.25584401573092774,0.27176273933550066,0.015918723604572915,-0.016348365543070686,0.008310744273346216,0.032267089147643604,0.009900990099009901,0.03,100
population_std_rate_hz,715093703,VISp,drifting_gratings,120,20,ok,0.3747586203152995,0.3921104192362155,0.017351798920915984,-0.05125008469710049,0.028560977327139376,0.06860188361801647,0.019801980198019802,0.06,100
population_std_rate_hz,715093703,VISp,natural_scenes,0,0,skipped_too_few_rows,,,,,,,,,0
population_std_rate_hz,715093703,VISp,spontaneous,488,15,ok,0.1951861125574672,0.3424262089347938,0.1472400963773266,-0.008804126460672863,0.02715577521052613,0.15604422283799946,0.009900990099009901,0.37,100
active_unit_fraction,715093703,CA1,drifting_gratings,120,20,ok,0.011513861553857474,0.00936664834804335,-0.0021472132058141247,-0.08447260541111654,0.0538850999223233,0.08232539220530241,0.07920792079207921,0.07,100
active_unit_fraction,715093703,CA1,natural_scenes,0,0,skipped_too_few_rows,,,,,,,,,0
