target,session_id,region,stimulus_family,shuffle_id,shuffle_memory_gain_r2
population_mean_rate_hz,719161530,CA1,spontaneous,0,-0.006948486690606104
population_mean_rate_hz,719161530,CA1,spontaneous,1,-0.004594167510632241
population_mean_rate_hz,719161530,CA1,spontaneous,2,-0.007264601076512944
population_mean_rate_hz,719161530,CA1,spontaneous,3,-0.005113493192249408
population_mean_rate_hz,719161530,CA1,spontaneous,4,-0.0032194412360564417
population_mean_rate_hz,719161530,CA1,spontaneous,5,-0.00624646967589948
population_mean_rate_hz,719161530,CA1,spontaneous,6,-0.004214463469762508
population_mean_rate_hz,719161530,CA1,spontaneous,7,-0.0066365387867513
population_mean_rate_hz,719161530,CA1,spontaneous,8,-0.001462366024943762
population_mean_rate_hz,719161530,CA1,spontaneous,9,-0.00793025869667896
population_mean_rate_hz,719161530,CA1,spontaneous,10,-0.005730431492164678
population_mean_rate_hz,719161530,CA1,spontaneous,11,-0.0032923207736219595
population_mean_rate_hz,719161530,CA1,spontaneous,12,-0.007559388400835254
population_mean_rate_hz,719161530,CA1,spontaneous,13,-0.004378597803228357
population_mean_rate_hz,719161530,CA1,spontaneous,14,-0.003616345711029978
population_mean_rate_hz,719161530,CA1,spontaneous,15,-0.006316716158444757
population_mean_rate_hz,719161530,CA1,spontaneous,16,-0.0085976675263566
population_mean_rate_hz,719161530,CA1,spontaneous,17,-0.0012288069599796225
population_mean_rate_hz,719161530,CA1,spontaneous,18,-0.0015635496259018833
population_mean_rate_hz,719161530,CA1,spontaneous,19,-0.001579959457539859
population_mean_rate_hz,719161530,CA1,spontaneous,20,-0.005157508832696389
population_mean_rate_hz,719161530,CA1,spontaneous,21,-0.0016401518454263186
population_mean_rate_hz,719161530,CA1,spontaneous,22,-0.003371107235962234
population_mean_rate_hz,719161530,CA1,spontaneous,23,-0.0012958664847729784
population_mean_rate_hz,719161530,CA1,spontaneous,24,-0.0046380442054467785
population_mean_rate_hz,719161530,CA1,spontaneous,25,-0.006385036033928482
population_mean_rate_hz,719161530,CA1,spontaneous,26,-0.008108978840070113
population_mean_rate_hz,719161530,CA1,spontaneous,27,-0.006918682804956111
population_mean_rate_hz,719161530,CA1,spontaneous,28,-0.00459453491545514
population_mean_rate_hz,719161530,CA1,spontaneous,29,-0.00548492275988699
population_mean_rate_hz,719161530,CA1,spontaneous,30,-0.00819832110824037
population_mean_rate_hz,719161530,CA1,spontaneous,31,-0.004922324487719343
population_mean_rate_hz,719161530,CA1,spontaneous,32,-0.0033593981752643165
population_mean_rate_hz,719161530,CA1,spontaneous,33,-0.007585582874932606
population_mean_rate_hz,719161530,CA1,spontaneous,34,-0.003410254323850115
population_mean_rate_hz,719161530,CA1,spontaneous,35,-0.004209360690438868
population_mean_rate_hz,719161530,CA1,spontaneous,36,-0.00457330354032548
population_mean_rate_hz,719161530,CA1,spontaneous,37,-0.0026425462723079773
population_mean_rate_hz,719161530,CA1,spontaneous,38,-0.003858682551985404
population_mean_rate_hz,719161530,CA1,spontaneous,39,-0.006312634108930237
population_mean_rate_hz,719161530,CA1,spontaneous,40,-0.0053709522938562015
population_mean_rate_hz,719161530,CA1,spontaneous,41,-0.006993580498714458
population_mean_rate_hz,719161530,CA1,spontaneous,42,-0.003040843202436694
