target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles
population_mean_rate_hz,751348571,CA1,spontaneous,2071,15,ok,0.23564943380138925,0.3591665156439816,0.12351708184259236,-0.0040757049878542995,0.0019335550678408972,0.12759278683044667,0.009900990099009901,0.03,100
population_mean_rate_hz,751348571,LGd,spontaneous,2071,15,ok,0.5899875882651628,0.6067840420061625,0.016796453740999695,-0.0020734364116598604,0.0010254262417679655,0.018869890152659555,0.009900990099009901,0.04,100
population_mean_rate_hz,751348571,VISl,spontaneous,2071,15,ok,0.38398565034276244,0.4199186444558439,0.035932994113081484,-0.003035532971542687,0.0017792993079638508,0.03896852708462417,0.009900990099009901,0.05,100
population_mean_rate_hz,751348571,VISp,spontaneous,2071,15,ok,0.4134198945707187,0.4410771417044874,0.027657247133768714,-0.002895787541683629,0.0018654645175527442,0.030553034675452343,0.009900990099009901,0.09,100
population_std_rate_hz,751348571,CA1,spontaneous,2071,15,ok,0.2927795371692504,0.4440651161232039,0.15128557895395345,-0.003411673298739831,0.0019520436122201538,0.1546972522526933,0.009900990099009901,0.05,100
population_std_rate_hz,751348571,LGd,spontaneous,2071,15,ok,0.22389855344365872,0.24738711139921998,0.023488557955561262,-0.003914603679650103,0.002389064738955974,0.027403161635211365,0.009900990099009901,0.05,100
population_std_rate_hz,751348571,VISl,spontaneous,2071,15,ok,0.11742045035755455,0.12292148317486562,0.005501032817311069,-0.00496447170435264,0.0023883555211056495,0.01046550452166371,0.009900990099009901,0.02,100
population_std_rate_hz,751348571,VISp,spontaneous,2071,15,ok,0.20919774858799312,0.23500621552586443,0.02580846693787131,-0.003953249766922871,0.002244745615297411,0.029761716704794182,0.009900990099009901,0.04,100
active_unit_fraction,751348571,CA1,spontaneous,2071,15,ok,0.12657871499328366,0.21746081822704388,0.09088210323376023,-0.004835687810050893,0.0022961821324379303,0.09571779104381112,0.009900990099009901,0.03,100
active_unit_fraction,751348571,LGd,spontaneous,2071,15,ok,0.45435225923964395,0.4756888840720539,0.021336624832409945,-0.003093509988765494,0.0016731405400068568,0.02443013482117544,0.009900990099009901,0.04,100
active_unit_fraction,751348571,VISl,spontaneous,2071,15,ok,0.4432859808500338,0.5148277050789865,0.07154172422895266,-0.002995963793354167,0.0016149592628929758,0.07453768802230683,0.009900990099009901,0.05,100
active_unit_fraction,751348571,VISp,spontaneous,2071,15,ok,0.43315865853922475,0.4990916266288684,0.06593296808964366,-0.002958722973140271,0.0015499752347304734,0.06889169106278394,0.009900990099009901,0.03,100
population_l2_rate_norm,751348571,CA1,spontaneous,2071,15,ok,0.28588073384429324,0.42796707251588206,0.14208633867158882,-0.003513707400984504,0.0020208468831619535,0.14560004607257332,0.009900990099009901,0.05,100
population_l2_rate_norm,751348571,LGd,spontaneous,2071,15,ok,0.4623415363465275,0.478105164907487,0.015763628560959475,-0.0029152328264361958,0.001472648473345382,0.01867886138739567,0.009900990099009901,0.05,100
population_l2_rate_norm,751348571,VISl,spontaneous,2071,15,ok,0.18649122432296583,0.19724052425348948,0.010749299930523648,-0.00456217790845559,0.0018990168130015854,0.015311477838979237,0.009900990099009901,0.0,100
population_l2_rate_norm,751348571,VISp,spontaneous,2071,15,ok,0.2833387975540752,0.30492675968992566,0.021587962135850458,-0.0035882438133901916,0.0019409948263607861,0.02517620594924065,0.009900990099009901,0.03,100
population_rate_entropy,751348571,CA1,spontaneous,2071,15,ok,0.10548200196653001,0.2053033127870817,0.09982131082055168,-0.0043577349011221225,0.00241808246745116,0.1041790457216738,0.009900990099009901,0.06,100
population_rate_entropy,751348571,LGd,spontaneous,2071,15,ok,0.39032441205641755,0.4092971093197286,0.018972697263311078,-0.003140554632857121,0.0015803800875681207,0.0221132518961682,0.009900990099009901,0.03,100
population_rate_entropy,751348571,VISl,spontaneous,2071,15,ok,0.4170992891759949,0.4732190620525708,0.05611977287657588,-0.0033977657038103304,0.001233638453087439,0.05951753858038621,0.009900990099009901,0.01,100
population_rate_entropy,751348571,VISp,spontaneous,2071,15,ok,0.36366644723069586,0.42607460255197616,0.0624081553212803,-0.0033254810709453476,0.0017115762198969687,0.06573363639222565,0.009900990099009901,0.03,100
population_state_speed,751348571,CA1,spontaneous,2071,15,ok,0.07232918461536775,0.08908312396125384,0.016753939345886093,-0.005109140350305321,0.0027505895750682477,0.021863079696191414,0.009900990099009901,0.03,100
population_state_speed,751348571,LGd,spontaneous,2071,15,ok,0.09608200006332568,0.0911760926421411,-0.004905907421184574,-0.005210027277881275,0.0024398030892192136,0.0003041198566967008,0.46534653465346537,0.03,100
population_state_speed,751348571,VISl,spontaneous,2071,15,ok,0.26315341159309746,0.2612423507071644,-0.0019110608859330691,-0.0040643839066445316,0.002236983250733934,0.0021533230207114624,0.1782178217821782,0.03,100
population_state_speed,751348571,VISp,spontaneous,2071,15,ok,0.10311069234528303,0.10391140108026053,0.0008007087349775066,-0.00464677105438081,0.0026035318646833987,0.005447479789358316,0.019801980198019802,0.05,100
